Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2016,CORRELATED MAGNETICS RESEARCH LLC,1,0,0,0,54,,AL,HUNTSVILLE,35806
2016,HL ACADEMY INC,1,0,0,0,61,,AL,MONTGOMERY,36117
2016,MINGS MARK INC,1,0,0,0,54,,AZ,PHOENIX,85040
2016,EXALT WIRELESS INC,1,0,0,0,33,,CA,CAMPBELL,95008
2016,INSELLERATE LLC,1,0,0,0,54,,CA,COSTA MESA,92626
2016,US CHINA SPORTS CULTURE INCORPORAT,1,0,0,0,71,,CA,DIAMOND BAR,91765
2016,J & M CHILDCARE INC TUTOR TIME,0,0,0,1,61,,CA,FAIR OAKS,95628
2016,360IT PROFESSIONALS INC,1,0,0,0,54,,CA,FREMONT,94538
2016,AGILE BRIDGE CLUB DBA,0,1,0,0,71,,CA,HERMOSA BEACH,90254
2016,3 STARS MENTORING INC DBA COMPSOLU,1,0,0,0,51,,CA,LA HABRA,90631
2016,LIFEPHARM GLOBAL INC,0,0,1,0,32,,CA,LAKE FOREST,92630
2016,LIVINGSTON COMMUNITY HEALTH SVC,1,0,1,0,62,,CA,LIVINGSTON,95334
2016,CREATETV INC,1,0,0,0,51,,CA,LOS ANGELES,90028
2016,STANDFORD UNIV/SLAC NTL ACCELERATO,0,0,1,0,61,,CA,MENLO PARK,94025
2016,BURRITO LABS INC DBA HEAL,0,0,1,0,51,,CA,PACIFIC PALISADES,90272
2016,STANDFORD HOSP & CLINICS DBA STAND,0,0,1,0,61,,CA,PALO ALTO,94304
2016,CONFYDE INC,0,0,1,0,51,,CA,PASADENA,91101
2016,RANDALL LAMB ASSO INC,1,0,0,0,99,,CA,SAN FRANCISCO,94111
2016,JEWISH FAMILY & CHILDREN S SVCS,0,0,1,0,62,,CA,SAN FRANCISCO,94115
2016,WEBENERTIA INC,0,0,1,0,99,,CA,SAN JOSE,95112
2016,COAST COMPOSITES LLC,1,0,0,0,33,,CA,SANTA ANA,92705
2016,THE LELAND STANFORD JR UNIVERISITY,1,0,0,0,61,,CA,STANFORD,94305
2016,NETSOURCE INC,0,0,1,0,33,,CT,BOLTON,06043
2016,CIRCULAR LOGIC LLC,0,0,1,0,51,,CT,EAST HARTFORD,06108
2016,PULMONICS PLUS PLLC,1,0,0,0,62,,DC,WASHINGTON,20036
2016,ANESTESIA PAIN CARE CONS INC,1,0,0,0,62,,FL,FORT LAUDERDALE,33321
2016,INOVAIVE SCHEDULING LLC DBA OPTYM,0,0,0,1,54,,FL,GAINESVILLE,32607
2016,EFG CAPITAL ADVISORS INC,0,0,1,0,52,,FL,MIAMI,33131
2016,APROQUEN,0,1,0,0,81,,FL,MIAMI,33134
2016,1220 COLLINS AVE INC DBA THE WEBST,1,0,0,0,44,,FL,MIAMI BEACH,33139
2016,MAIN ST ORTHODONTICS OF MIAMI LAKE,1,0,0,0,62,,FL,SARASOTA,34240
2016,DEEPA TELANG,0,0,1,0,54,,GA,ALPHARETTA,30009
2016,ATHENS REGIONAL MEDICAL CTR,2,0,0,0,62,,GA,ATHENS,30606
2016,KENTUCKY INPATIENT MEDICINE ASSOCI,0,0,1,0,62,,GA,ATLANTA,30328
2016,DIGESTIVE CARE PHYSICIANS LLC,0,1,0,0,62,,GA,DULUTH,30097
2016,CREST FOODS INC,0,0,1,0,42,,IL,ASHTON,61006
2016,INTELLIWHEELS INC,1,0,0,0,33,,IL,CHAMPAIGN,61820
2016,AON NATIONAL FLOOD INC,0,0,1,0,52,,IL,CHICAGO,60601
2016,CLARITY SOLUTIONS GRP LLC,0,0,1,0,54,,IL,CHICAGO,60606
2016,JONH H STROGER JR HOSP OF COOK COU,0,0,1,0,62,,IL,CHICAGO,60612
2016,MY FINANCIAL MAN INC DBA MY TAX PL,1,0,0,0,54,,IL,CHICAGO,60625
2016,RUSSELL J CECALA LTD DBA PERIOCARE,1,0,0,0,62,,IL,CHICAGO,60631
2016,LOAD DELIVERED LOGISTICS LLC,1,0,0,0,48,,IL,CHICAGO,60654
